"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.2","0.2","0.9","0.4","0.9","0.6","0.5","0.7","0.0","0.1"
"1","0.1","0.2","0.9","0.4","0.9","0.6","0.5","0.7","0.0","0.1"
"2","1.4901161E-9","0.2","0.6999999","0.4","0.9","0.6","0.5","0.7","0.0","0.1"
"3","-0.1","0.2","0.4999999","0.4","0.9","0.6","0.6","0.7","0.0","0.1"
"4","-0.1","0.2","0.4999999","0.4","0.9","0.6","0.6","0.7","0.0","0.1"
"5","-0.1","0.1","0.4999999","0.4","0.9","0.6","0.6","0.7","0.0","0.1"
"6","-0.1","0.1","0.4999999","0.4","0.9","0.6","0.6","0.7","0.0","0.1"
"7","-0.1","0.1","0.4999999","0.4","0.9","0.6","0.6","0.7","0.0","0.1"
"8","-0.1","1.4901161E-9","0.4999999","0.4","0.9","0.6","0.70000005","0.7","0.0","0.1"
"9","-0.1","-0.1","0.4999999","0.4","0.9","0.6","0.8000001","0.7","0.0","0.1"
"10","-0.1","-0.1","0.4999999","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"11","-0.1","-0.1","0.4999999","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"12","-0.1","-0.1","0.4999999","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"13","-0.1","-0.1","0.4999999","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"14","-0.1","-0.1","0.4999999","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"15","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"16","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"17","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"18","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"19","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"20","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"21","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"22","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"23","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"24","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"25","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"26","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"27","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"28","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"29","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"30","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"31","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"32","-0.1","-0.1","0.39999992","0.4","0.9","0.6","0.9000001","0.7","0.0","0.1"
"33","-0.1","-0.1","0.09999993","0.4","0.79999995","0.6","0.9000001","0.7","0.0","0.1"
"34","-0.1","-0.1","-7.301569E-8","0.4","0.6999999","0.6","0.9000001","0.7","0.0","0.1"
"35","-0.1","-0.1","-7.301569E-8","0.4","0.5999999","0.6","0.9000001","0.7","0.0","0.1"
"36","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.1"
"37","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.1"
"38","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.1"
"39","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.1"
"40","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.1"
"41","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.1"
"42","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.1"
"43","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.1"
"44","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.2"
"45","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","0.9000001","0.7","0.0","0.2"
"46","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","1.0000001","0.7","0.0","0.2"
"47","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","1.0000001","0.7","0.0","0.2"
"48","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","1.0000001","0.7","0.0","0.2"
"49","-0.1","-0.1","-7.301569E-8","0.4","0.4999999","0.6","1.0000001","0.7","0.0","0.2"
