"Iteração","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10"
"0","0.5","0.7","0.8","0.0","0.3","0.5","0.5","0.1","0.2","0.5"
"1","0.4","0.7","0.8","0.0","0.3","0.5","0.5","0.1","0.2","0.5"
"2","0.3","0.7","0.59999996","0.0","0.3","0.5","0.5","0.1","0.2","0.5"
"3","0.20000002","0.7","0.39999998","0.0","0.3","0.5","0.4","0.1","0.2","0.5"
"4","0.20000002","0.7","0.39999998","0.0","0.3","0.5","0.4","0.1","0.2","0.5"
"5","0.20000002","0.8","0.39999998","0.0","0.3","0.5","0.4","0.1","0.2","0.5"
"6","0.20000002","0.8","0.39999998","0.0","0.3","0.5","0.4","0.1","0.2","0.5"
"7","0.20000002","0.8","0.39999998","0.0","0.3","0.5","0.4","0.1","0.2","0.5"
"8","0.20000002","0.90000004","0.39999998","0.0","0.3","0.5","0.3","0.1","0.2","0.5"
"9","0.20000002","1.0","0.39999998","0.0","0.3","0.5","0.20000002","0.1","0.2","0.5"
"10","0.20000002","1.0","0.39999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"11","0.20000002","1.0","0.39999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"12","0.20000002","1.0","0.39999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"13","0.20000002","1.0","0.39999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"14","0.20000002","1.0","0.39999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"15","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"16","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"17","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"18","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"19","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"20","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"21","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"22","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"23","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
"24","0.20000002","1.0","0.29999998","0.0","0.3","0.5","0.10000002","0.1","0.2","0.5"
